run
frame
time(s)
exp_time(ms)
int_s_p(counts)
int_l_p(counts)
int_s_avg_3(counts)
int_l_avg_3(counts)
int_s_avg_5(counts)
int_l_avg_5(counts)
region_mean_short(counts)
region_mean_long(counts)
temp_hybref(C)
temp_peak(C)
loc_x(pixels)
loc_y(pixels)
layer
scan_direction(012)
